,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),prices,location
58,13.3,-0.5991126248528125,5,24.95776,121.53438,2,1046,44350.4,3
59,11.0,0.6619072211436147,2,24.96365,121.51471,1,450,9585.0,0
60,5.3,-0.6595033273576631,6,24.97585,121.54516,3,1083,68445.6,1
61,17.2,0.8553266429698646,3,24.96303,121.51254,3,1073,29722.1,0
62,2.6,-0.4430434602016343,4,24.97445,121.54765,2,1309,71995.0,1
63,17.5,-0.07759704018160143,0,24.96305,121.54915,2,862,21808.600000000002,3
64,40.1,-0.7669506739546955,8,24.97635,121.54329,3,1351,59849.299999999996,1
65,1.0,-0.711738666387686,6,24.96571,121.54089,2,1144,58000.8,3
66,8.5,-0.7819176549068025,5,24.96674,121.54067,2,1425,80940.0,3
67,30.4,-0.4977903188423245,6,24.97964,121.53805,3,1303,47168.600000000006,1
68,12.5,-0.4205067417512755,5,24.98746,121.54391,1,581,24402.0,1
69,6.6,-0.7932649803560643,9,24.97433,121.5431,3,927,54693.0,1
70,35.5,-0.3582487240206277,3,24.97563,121.53715,1,533,21746.399999999998,1
71,32.5,-0.5291576730531367,8,24.97587,121.53913,2,1392,50529.6,1
72,13.8,2.362189396397113,0,24.94155,121.50381,3,1176,23520.0,2
73,6.8,-0.5647210911422811,10,24.98343,121.53762,3,1084,58969.6,1
74,12.3,0.21045979242953836,1,24.95204,121.54842,1,492,14514.0,3
75,35.9,-0.37748924096999853,3,24.97723,121.53767,2,1262,46441.6,1
76,20.5,0.8626398528906342,3,24.96322,121.51237,2,1308,33484.8,0
77,38.2,-0.4280542653052214,2,24.97598,121.53381,1,459,13678.2,1
78,18.0,0.25370030223888257,1,24.95182,121.54887,2,958,25387.0,3
79,11.8,-0.4430434602016343,4,24.97445,121.54765,1,488,19666.399999999998,1
80,30.8,-0.5661139291662141,6,24.96427,121.53964,1,466,17148.8,3
81,13.2,-0.7454546906530441,7,24.96725,121.54252,2,1339,64405.9,3
82,25.3,1.275506166376818,3,24.96056,121.50831,3,1186,20992.2,0
83,15.1,-0.5617779411547095,7,24.96735,121.54464,2,1154,50429.8,3
84,0.0,-0.5968084617400607,9,24.96853,121.54413,2,1145,58166.0,3
85,1.8,0.2860812763567762,1,24.9512,121.549,1,515,13905.0,3
86,16.9,2.3499930713881807,0,24.94297,121.50342,3,878,16067.400000000001,2
87,8.9,0.24705430117911525,0,24.98573,121.52758,2,915,43920.0,1
88,23.0,2.2562027945078524,0,24.94783,121.50243,1,471,11916.300000000001,2
89,0.0,-0.6481562706892222,1,24.9748,121.53059,2,954,43311.6,1
90,9.1,0.24356489369989398,0,24.98569,121.5276,1,426,18403.2,1
91,20.6,1.0875595963808011,4,24.96108,121.51046,3,1316,28688.8,0
92,31.9,0.041436182748455556,0,24.9492,121.53076,1,536,8629.6,3
93,40.9,-0.732281110201019,5,24.9663,121.54026,2,984,40344.0,3
94,8.0,-0.7819176549068025,5,24.96674,121.54067,3,1250,64750.0,3
95,6.4,-0.7932649803560643,9,24.97433,121.5431,3,1158,68901.0,1
96,28.4,-0.37666550680748184,3,24.97746,121.53299,3,828,28648.800000000003,1
97,16.4,-0.6360529122230081,5,24.98203,121.54348,3,1323,67473.0,1
98,6.4,-0.7932649803560643,9,24.97433,121.5431,1,514,31970.800000000003,1
99,17.5,-0.10210811186697501,4,24.98872,121.53411,2,926,35373.200000000004,1
100,12.7,-0.7302810646816648,1,24.97371,121.52984,3,879,28919.1,1
101,1.1,-0.711738666387686,6,24.96571,121.54089,3,1028,55923.2,3
102,0.0,-0.7000340521744214,6,24.95618,121.53844,1,554,25317.800000000003,3
103,32.7,-0.5545324007582314,6,24.96398,121.5425,1,471,14365.5,3
104,0.0,-0.6331492888267282,6,24.97744,121.54458,1,570,40470.0,1
105,17.2,-0.7149532850042482,8,24.97707,121.54308,3,871,41024.1,1
106,12.2,0.21045979242953836,1,24.95204,121.54842,3,913,24285.800000000003,3
107,31.4,-0.3963827935010118,2,24.9726,121.53561,2,945,32224.5,1
108,4.0,0.8327956954018346,3,24.96299,121.51284,2,1044,29649.6,0
109,8.1,-0.7819176549068025,5,24.96674,121.54067,2,847,43705.200000000004,3
110,33.3,-0.709341220519486,7,24.97701,121.54224,2,1136,44758.4,1
111,9.9,0.797262080362524,3,24.96044,121.51462,1,414,9563.400000000001,0
112,14.8,-0.5538883544797262,6,24.96172,121.53812,2,1365,10374.0,3
113,30.6,-0.7510646207018765,8,24.98155,121.54142,3,1222,65132.6,1
114,20.6,-0.28142721278177735,2,24.98092,121.54739,1,441,20462.399999999998,1
115,30.9,4.191691903901066,1,24.94375,121.47883,1,495,6039.0,2
116,13.6,2.45336459399759,0,24.93885,121.50383,3,1207,15691.0,2
117,25.3,0.3872092696444748,3,24.96622,121.51709,1,470,14382.0,0
118,16.6,-0.6360529122230081,5,24.98203,121.54348,1,548,32660.8,1
119,13.3,-0.4756488663048816,5,24.96515,121.53737,3,1224,38311.200000000004,3
120,13.6,-0.4756488663048816,5,24.96515,121.53737,1,443,21264.0,3
121,31.5,-0.5367440907729135,4,24.98199,121.54464,3,840,27300.0,1
122,0.0,-0.7181853743741612,0,24.9711,121.5317,3,818,37219.0,1
123,9.9,-0.644078549425217,7,24.97528,121.54541,1,493,28298.2,1
124,1.1,-0.711738666387686,6,24.96571,121.54089,2,952,46267.200000000004,3
125,38.6,-0.22864055685641957,4,24.97838,121.53477,1,472,29688.8,1
126,3.8,-0.561317930685258,5,24.98085,121.54391,2,1136,62480.0,1
127,41.3,-0.7659638530765097,6,24.96674,121.54039,1,417,25311.9,3
128,38.5,-0.6933600662880195,7,24.98086,121.54162,2,1284,52644.0,1
129,29.6,-0.4414222375332186,8,24.98092,121.53653,3,1190,44625.0,1
130,4.0,0.8327956954018346,3,24.96299,121.51284,1,565,17345.5,0
131,26.6,-0.4831377323973507,5,24.97433,121.53863,3,1166,43725.0,1
132,18.0,-0.5695937712103426,8,24.9866,121.54082,1,406,16037.0,1
133,33.4,-0.7169687458942061,6,24.96604,121.54211,3,1246,52581.200000000004,3
134,18.9,-0.06694098738212001,0,24.96357,121.54951,2,1147,23857.600000000002,3
135,11.4,-0.5560166242612304,5,24.97937,121.54245,1,453,21200.399999999998,1
136,13.6,-0.6125377525318174,6,24.96495,121.54277,1,429,20334.6,3
137,10.0,-0.11972369064834865,0,24.97843,121.52406,3,1340,58290.0,1
138,12.9,-0.4756488663048816,5,24.96515,121.53737,1,538,22865.0,3
139,16.2,-0.6360529122230081,5,24.98203,121.54348,1,486,24980.399999999998,1
140,5.1,0.36831951166622556,3,24.97213,121.51627,2,1147,33148.299999999996,0
141,19.8,-0.35835307422163754,5,24.97017,121.54647,1,447,16762.5,3
142,13.6,-0.4756488663048816,5,24.96515,121.53737,2,1202,48200.200000000004,3
143,11.9,0.21045979242953836,1,24.95204,121.54842,3,1336,37942.4,3
144,2.1,-0.5080507895161598,5,24.97563,121.54694,1,422,19201.0,1
145,0.0,-0.7181853743741612,0,24.9711,121.5317,2,1356,70783.2,1
146,3.2,-0.4775059836701254,8,24.97017,121.54494,1,518,22377.600000000002,3
147,16.4,2.1239033407957826,0,24.93293,121.51203,3,975,43972.5,2
148,34.9,-0.7229094344589664,8,24.97349,121.54245,2,1411,56016.700000000004,1
149,35.8,-0.7298050064161489,7,24.96719,121.54269,1,540,26190.0,3
150,4.9,-0.5582271884058037,9,24.98118,121.53788,2,949,42420.3,1
151,12.0,0.21045979242953836,1,24.95204,121.54842,2,1098,31732.199999999997,3
152,6.5,-0.5673983062236427,6,24.95418,121.53713,2,870,35583.0,3
153,16.9,2.3499930713881807,0,24.94297,121.50342,1,532,11012.4,2
154,13.8,2.362189396397113,0,24.94155,121.50381,2,1292,20155.2,2
155,30.7,0.13503594145875863,0,24.94883,121.52954,3,1110,20313.0,3
156,16.1,-0.21975363522996694,4,24.97886,121.53464,1,477,16981.2,1
157,11.6,-0.5560166242612304,5,24.97937,121.54245,1,461,18163.399999999998,1
158,15.5,-0.21975363522996694,4,24.97886,121.53464,1,532,19896.8,1
159,3.5,-0.8255147340961881,8,24.95836,121.53756,2,970,56066.0,3
160,19.2,-0.37748924096999853,3,24.97723,121.53767,2,1400,55440.0,1
161,16.0,2.3499930713881807,0,24.94297,121.50342,1,469,5440.4,2
162,8.5,-0.7819176549068025,5,24.96674,121.54067,1,565,31357.5,3
163,0.0,-0.7181853743741612,0,24.9711,121.5317,3,1312,72422.40000000001,1
164,13.7,0.11276982205238208,1,24.97694,121.55391,3,1494,45716.4,1
165,28.2,-0.6038303606830112,8,24.97408,121.54011,3,1088,47219.2,1
166,27.6,-0.45756078665120825,5,24.96299,121.5432,1,580,21692.0,3
167,8.4,0.6867465216430734,1,24.95468,121.55481,2,1342,31537.0,3
168,24.0,2.7145072962791925,0,24.94741,121.49628,2,1462,21052.8,2
169,3.6,-0.561317930685258,5,24.98085,121.54391,1,411,24166.8,1
170,6.6,-0.7932649803560643,9,24.97433,121.5431,3,842,48920.200000000004,1
171,41.3,-0.5470738910878742,4,24.98326,121.5446,3,889,31203.9,1
172,4.3,-0.5232331903908058,7,24.9805,121.53778,3,1239,56002.8,1
173,30.2,-0.4915044050292234,3,24.97005,121.53758,1,503,18359.5,1
174,13.9,2.7509444891954296,0,24.94867,121.49507,3,1206,23155.2,2
175,33.0,-0.7216265594120067,9,24.97697,121.54262,1,542,22764.0,1
176,13.1,0.03993970600215606,4,24.99176,121.53456,2,1490,54683.00000000001,1
177,14.0,-0.5178474551677794,1,24.97493,121.5273,1,580,24708.0,1
178,26.9,2.652516162092946,0,24.94898,121.49621,2,1331,20630.5,2
179,11.6,-0.7051698212341198,8,24.98489,121.54121,3,1482,82843.8,1
180,13.5,0.8327956954018346,3,24.96299,121.51284,2,1002,23647.2,0
181,17.0,2.362189396397113,0,24.94155,121.50381,2,923,17352.4,2
182,14.1,1.2028349472235846,0,24.95495,121.56174,1,442,9635.6,3
183,31.4,0.2793522694552965,3,24.97285,121.5173,1,516,11094.0,0
184,20.9,0.8626398528906342,3,24.96322,121.51237,1,436,11205.199999999999,0
185,8.9,1.5686227188860113,0,24.95464,121.56627,3,1175,25850.0,3
186,34.8,-0.7145413388698072,8,24.97707,121.54312,1,492,21795.6,1
187,16.3,2.3499930713881807,0,24.94297,121.50342,2,996,20418.0,2
188,35.3,-0.37735239991094705,8,24.97945,121.53642,3,810,34263.0,1
189,13.2,-0.2718188518110708,2,24.97371,121.54951,2,1256,47476.799999999996,1
190,43.8,-0.8192470815682639,7,24.9675,121.54069,3,1000,42700.0,3
191,9.7,-0.531580811205676,5,24.98246,121.54477,2,1089,53687.7,1
192,15.2,2.1170296665701756,0,24.93363,121.51158,2,1287,37709.1,2
193,15.2,-0.5002578848834757,5,24.95425,121.5399,2,1081,37402.6,3
194,22.8,-0.3051505985558922,2,24.981,121.54713,1,537,19654.2,1
195,34.4,-0.7645903830823096,8,24.96881,121.54089,1,548,26413.600000000002,3
196,34.0,-0.7401814481088337,7,24.96628,121.54196,3,1368,53488.8,3
197,18.2,-0.507736078796296,8,24.96945,121.5449,1,458,14472.800000000001,3
198,17.4,-0.07759704018160143,0,24.96305,121.54915,1,410,10455.0,3
199,13.1,-0.4205067417512755,5,24.98746,121.54391,2,1339,61460.1,1
200,38.3,-0.35669975596109305,3,24.97559,121.53713,1,585,18427.5,1
201,15.6,-0.6360529122230081,5,24.98203,121.54348,1,544,25078.4,1
202,18.0,0.25370030223888257,1,24.95182,121.54887,3,1100,29260.0,3
203,12.8,0.2812780049830226,3,24.97289,121.51728,2,945,20223.0,0
204,22.2,-0.5647210911422811,10,24.98343,121.53762,1,456,20064.0,1
205,38.5,-0.33901943262318374,3,24.97503,121.53692,3,1053,36012.600000000006,1
206,11.5,0.21045979242953836,1,24.95204,121.54842,1,452,11842.4,3
207,34.8,-0.7259327443736773,8,24.97347,121.54271,3,1349,55174.1,1
208,5.2,-0.5560166242612304,5,24.97937,121.54245,3,836,43639.200000000004,1
209,0.0,-0.6481562706892222,1,24.9748,121.53059,3,1118,48633.0,1
210,17.6,0.5626622746650471,2,24.98672,121.52091,2,1377,42824.700000000004,1
211,6.2,-0.7932649803560643,9,24.97433,121.5431,2,1354,78532.0,1
212,18.1,0.5448871665612207,3,24.96731,121.51486,1,586,12247.4,0
213,19.2,-0.5614361151932199,8,24.972,121.54477,1,428,20586.8,1
214,37.8,-0.3976250352121237,1,24.97153,121.53559,3,1140,45258.0,1
215,28.0,-0.5702020854503203,6,24.97838,121.54119,3,1291,52672.799999999996,1
216,13.6,-0.4756488663048816,5,24.96515,121.53737,2,1455,63728.99999999999,3
217,29.3,-0.4459677164785685,8,24.98102,121.53655,1,583,23436.600000000002,1
218,9.0,0.24356489369989398,0,24.98569,121.5276,1,417,16054.5,1
219,30.6,-0.5239660924465345,10,24.98123,121.53743,3,1145,55532.5,1
220,9.1,0.24356489369989398,0,24.98569,121.5276,2,1270,53721.0,1
221,34.5,-0.6078964611291766,6,24.97814,121.5417,2,880,40480.0,1
222,1.1,-0.711738666387686,6,24.96571,121.54089,1,462,22638.0,3
223,16.5,2.362189396397113,0,24.94155,121.50381,1,588,7526.400000000001,2
224,32.4,-0.6552342973918067,8,24.98059,121.53986,3,1380,55476.00000000001,1
225,11.9,1.642263130057715,0,25.00115,121.51776,2,1204,56106.4,1
226,31.0,0.049407115148316985,0,24.9489,121.53095,1,559,10621.0,3
227,4.0,0.8327956954018346,3,24.96299,121.51284,1,569,19004.6,0
228,16.2,2.3564351152368834,0,24.94235,121.50357,2,1189,17478.3,2
229,27.1,2.6236577977909588,1,24.95032,121.49587,2,1140,19836.0,2
230,39.7,-0.6012354399647185,9,24.98016,121.53932,3,975,31590.0,1
231,8.0,0.8875289568951203,4,24.96007,121.51361,1,494,11806.599999999999,0
232,12.9,-0.666641592585376,7,24.96606,121.54297,2,1035,40675.5,3
233,3.6,-0.5692418264414825,10,24.98322,121.53765,3,1117,69142.3,1
234,13.0,-0.2854299125755112,0,24.97668,121.52518,1,578,22542.0,1
235,12.8,-0.2854299125755112,0,24.97668,121.52518,3,1244,50506.4,1
236,18.1,-0.20252644473462444,0,24.96334,121.54767,3,1074,31897.8,3
237,11.0,0.48911672731244354,2,24.96412,121.5167,1,421,12124.800000000001,0
238,13.7,-0.666641592585376,7,24.96606,121.54297,1,492,20368.8,3
239,2.0,0.7774695350391747,3,24.96357,121.51329,3,1189,39712.6,0
240,32.8,-0.7033700964794313,8,24.98236,121.53923,1,478,23039.600000000002,1
241,4.8,0.36831951166622556,3,24.97213,121.51627,3,1262,27385.399999999998,0
242,7.5,-0.35913356629328114,5,24.97258,121.54814,2,1219,49735.2,1
243,16.4,-0.5566067562692139,6,24.96412,121.54273,1,506,20543.600000000002,3
244,21.7,-0.030709332740600018,0,24.96211,121.54928,1,465,10741.5,3
245,19.0,-0.06694098738212001,0,24.96357,121.54951,2,1123,25042.9,3
246,18.0,4.120441270438852,1,24.95743,121.47516,2,1439,21585.0,2
247,39.2,-0.5290240731745711,7,24.97429,121.53917,1,420,12600.0,1
248,31.7,0.05181191296249705,0,24.9496,121.53018,2,970,13386.0,3
249,5.9,-0.7932649803560643,9,24.97433,121.5431,3,1164,61342.8,1
250,30.4,0.5072697096290176,2,24.96464,121.51623,2,1120,29008.0,0
251,1.1,-0.6039178725561307,5,24.98254,121.54395,2,965,49987.0,1
252,31.5,3.4926680895684843,1,24.95095,121.48458,2,1368,23803.199999999997,2
253,14.6,-0.5966021329335186,1,24.97519,121.53151,2,1154,30581.0,1
254,17.3,-0.5136717870105537,1,24.97501,121.5273,2,1388,60933.2,1
255,0.0,-0.6331492888267282,6,24.97744,121.54458,2,1205,76276.5,1
256,17.7,-0.20252644473462444,0,24.96334,121.54767,3,1013,29174.4,3
257,17.0,0.30924306832182014,4,24.97073,121.517,1,513,15749.1,0
258,16.2,0.9439721387276802,3,24.95885,121.51359,1,453,11053.199999999999,0
259,15.9,-0.6360529122230081,5,24.98203,121.54348,1,590,31270.0,1
260,3.9,0.8327956954018346,3,24.96299,121.51284,1,475,15057.5,0
261,32.6,-0.4745218050807933,7,24.96968,121.54522,3,949,38529.4,3
262,15.7,-0.21975363522996694,4,24.97886,121.53464,3,1395,53149.5,1
263,17.8,0.5448871665612207,3,24.96731,121.51486,2,1423,33725.1,0
264,34.7,-0.4831377323973507,5,24.97433,121.53863,3,847,34811.700000000004,1
265,17.2,-0.5560166242612304,5,24.97937,121.54245,2,844,33844.4,1
266,17.6,-0.20252644473462444,0,24.96334,121.54767,1,541,12443.0,3
267,17.7,-0.507736078796296,8,24.96945,121.5449,3,978,25917.0,3
268,13.0,-0.4756488663048816,5,24.96515,121.53737,3,890,36045.0,3
269,13.2,-0.7302810646816648,1,24.97371,121.52984,2,1299,38060.700000000004,1
270,27.5,-0.5532901590471194,7,24.97305,121.53994,1,544,22304.0,1
271,1.5,-0.8462884954270778,7,24.96772,121.54102,3,1385,68834.5,3
272,19.1,-0.5002578848834757,5,24.95425,121.5399,2,1315,44710.0,3
273,21.2,0.8626398528906342,3,24.96322,121.51237,3,1318,36508.6,0
274,0.0,-0.7000340521744214,6,24.95618,121.53844,2,1448,63712.0,3
275,2.6,0.363910715673562,3,24.97026,121.51642,1,440,13684.0,0
276,2.3,-0.7190544850634806,6,24.96581,121.54086,2,1034,46943.6,3
277,4.7,-0.5582271884058037,9,24.98118,121.53788,1,539,24147.199999999997,1
278,2.0,0.2860812763567762,1,24.9512,121.549,3,1154,29542.4,3
279,33.5,0.699429023724892,2,24.98674,121.51844,2,897,21079.5,0
280,15.0,-0.5617779411547095,7,24.96735,121.54464,1,533,18335.2,3
281,30.1,-0.29693934448097803,3,24.97509,121.53644,3,1470,81291.0,1
282,5.9,-0.7932649803560643,9,24.97433,121.5431,1,436,24546.8,1
283,19.2,-0.5002578848834757,5,24.95425,121.5399,2,1469,48330.1,3
284,16.6,-0.6088851792837444,6,24.97841,121.5428,1,439,22389.0,1
285,13.9,-0.6360529122230081,5,24.98203,121.54348,2,1446,64347.0,1
286,37.7,-0.4771403627006783,0,24.97217,121.53471,3,1194,44178.0,1
287,3.4,-0.8201286826604314,7,24.95744,121.53711,3,1208,65715.2,3
288,17.5,-0.5519799315989858,5,24.95674,121.534,2,876,21462.0,3
289,12.6,-0.5617779411547095,7,24.96735,121.54464,2,927,39397.5,3
290,26.4,-0.5995283655400174,6,24.9796,121.5414,3,1330,50673.0,1
291,18.2,0.858261887639178,3,24.96299,121.51252,3,899,19598.2,0
292,12.5,0.03993970600215606,4,24.99176,121.53456,1,585,19948.5,1
293,34.9,-0.41651423981809493,4,24.97003,121.5458,2,1358,38703.0,3
294,16.7,2.362189396397113,0,24.94155,121.50381,2,1379,23029.3,2
295,33.2,-0.7685449394878503,10,24.98178,121.54059,3,1297,59791.700000000004,1
296,2.5,-0.7412573619237907,4,24.96696,121.53992,1,543,20036.7,3
297,38.0,-0.4997177935400674,0,24.97229,121.53445,1,498,17778.600000000002,1
298,16.5,0.9439721387276802,3,24.95885,121.51359,3,1054,24452.8,0
299,38.3,-0.5171682302230248,0,24.97161,121.53423,2,1144,43929.6,1
300,20.0,0.4206969883185329,3,24.96622,121.51668,3,970,28518.0,0
301,16.2,-0.6360529122230081,5,24.98203,121.54348,2,914,50270.0,1
302,14.4,-0.7303985377109834,1,24.97369,121.52979,3,1305,65511.00000000001,1
303,10.3,1.569977690435487,0,24.9546,121.56627,2,812,20056.399999999998,3
304,16.4,-0.6360529122230081,5,24.98203,121.54348,1,490,25970.0,1
305,30.3,0.13503594145875863,0,24.94883,121.52954,1,554,10581.400000000001,3
306,16.4,0.4344648905972183,2,24.95394,121.55174,3,886,21884.2,3
307,21.3,-0.439627651235398,4,24.97425,121.53814,2,876,36967.200000000004,1
308,35.4,-0.6129659045686878,9,24.97071,121.54069,1,433,33774.0,1
309,8.3,-0.7819176549068025,5,24.96674,121.54067,3,952,40745.6,3
310,3.7,-0.4078764147699619,6,24.97201,121.54722,2,1491,62025.6,1
311,15.6,0.523725420115531,2,24.9832,121.51812,2,924,25225.2,0
312,13.3,-0.666641592585376,7,24.96606,121.54297,2,1307,54894.0,3
313,15.6,-0.2696871827427155,2,24.97795,121.53451,1,548,20550.0,1
314,7.1,-0.5647210911422811,10,24.98343,121.53762,3,1407,70068.59999999999,1
315,34.6,-0.649212500261716,5,24.95562,121.53872,1,402,10813.8,3
316,13.5,2.45336459399759,0,24.93885,121.50383,2,1222,22729.2,2
317,16.9,-0.10210811186697501,4,24.98872,121.53411,2,1235,46559.5,1
318,12.9,-0.7165626496952764,1,24.97388,121.52981,1,480,15888.0,1
319,28.6,-0.7089328317782614,6,24.97631,121.54436,1,594,25245.0,1
320,12.4,0.48911672731244354,2,24.96412,121.5167,2,1124,35181.200000000004,0
321,36.6,-0.4783461608946194,8,24.97015,121.54494,2,1166,44424.6,3
322,4.1,-0.8201286826604314,7,24.95744,121.53711,1,470,29187.0,3
323,3.5,-0.2660738198732038,3,24.97538,121.54971,2,1343,49288.100000000006,1
324,15.9,0.3192164178365133,3,24.97003,121.51696,1,506,11941.6,0
325,13.6,2.45336459399759,0,24.93885,121.50383,1,458,8793.6,2
326,32.0,0.049695659264745576,0,24.94935,121.53046,3,970,12416.0,3
327,25.6,2.708185413268016,0,24.94826,121.49587,1,426,6645.599999999999,2
328,39.8,-0.37645127268268147,2,24.97577,121.53475,2,1491,59043.6,1
329,7.8,-0.7819176549068025,5,24.96674,121.54067,3,1498,57523.2,3
330,30.0,-0.0636950637052549,5,24.99006,121.5346,1,484,11035.2,1
331,27.3,-0.5978885653736947,6,24.96431,121.54063,2,1337,48800.5,3
332,5.1,0.6113337381178552,2,24.98407,121.51748,3,817,29085.2,0
333,31.3,-0.3897741055434236,5,24.96871,121.54651,2,1333,41189.7,3
334,31.5,-0.6606691246412173,9,24.96867,121.54331,1,540,19602.0,3
335,1.7,-0.6039178725561307,5,24.98254,121.54395,3,1173,59119.2,1
336,33.6,-0.6506266035917638,0,24.97281,121.53265,3,1031,44229.9,1
337,13.0,-0.2718188518110708,2,24.97371,121.54951,3,800,29600.0,1
338,5.7,-0.7932649803560643,9,24.97433,121.5431,1,492,26322.0,1
339,33.5,-0.419478338899051,8,24.98223,121.53597,3,1284,59834.4,1
340,34.6,1.5741516984758785,0,24.998,121.5155,3,1012,41694.4,1
341,0.0,-0.7181853743741612,0,24.9711,121.5317,2,839,31798.1,1
342,13.2,0.48911672731244354,2,24.96412,121.5167,3,1400,43120.0,0
343,17.4,4.264213712539217,1,24.95719,121.47353,3,933,10449.599999999999,2
344,4.6,-0.6595033273576631,6,24.97585,121.54516,3,1183,63527.100000000006,1
345,7.8,-0.7819176549068025,5,24.96674,121.54067,2,889,41783.0,3
346,13.2,-0.4756488663048816,5,24.96515,121.53737,2,1146,48475.799999999996,3
347,4.0,0.8587796859850976,3,24.96324,121.51241,1,524,14986.400000000001,0
348,18.4,1.249868428733269,3,24.96143,121.50827,2,1007,25879.899999999998,0
