,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),prices
141,5.1,1559.827,-0.37192456677781893,24.97213,121.51627,2,1147,33148.299999999996
142,19.8,640.6071,0.30788457514720113,24.97017,121.54647,1,447,16762.5
143,13.6,492.2313,0.30788457514720113,24.96515,121.53737,2,1202,48200.200000000004
144,11.9,1360.139,-1.051733708702839,24.95204,121.54842,3,1336,37942.4
145,2.1,451.2438,0.30788457514720113,24.97563,121.54694,1,422,19201.0
146,0.0,185.4296,-1.391638279665349,24.9711,121.5317,2,1356,70783.2
147,3.2,489.8821,1.3275982880347312,24.97017,121.54494,1,518,22377.600000000002
148,16.4,3780.59,-1.391638279665349,24.93293,121.51203,3,975,43972.5
149,34.9,179.4538,1.3275982880347312,24.97349,121.54245,2,1411,56016.700000000004
150,35.8,170.7311,0.9876937170722212,24.96719,121.54269,1,540,26190.0
151,4.9,387.7721,1.6675028589972412,24.98118,121.53788,2,949,42420.3
152,12.0,1360.139,-1.051733708702839,24.95204,121.54842,2,1098,31732.199999999997
153,6.5,376.1709,0.6477891461097112,24.95418,121.53713,2,870,35583.0
154,16.9,4066.587,-1.391638279665349,24.94297,121.50342,1,532,11012.4
155,13.8,4082.015,-1.391638279665349,24.94155,121.50381,2,1292,20155.2
156,30.7,1264.73,-1.391638279665349,24.94883,121.52954,3,1110,20313.0
157,16.1,815.9314,-0.032019995815308906,24.97886,121.53464,1,477,16981.2
158,11.6,390.5684,0.30788457514720113,24.97937,121.54245,1,461,18163.399999999998
159,15.5,815.9314,-0.032019995815308906,24.97886,121.53464,1,532,19896.8
160,3.5,49.66105,1.3275982880347312,24.95836,121.53756,2,970,56066.0
161,19.2,616.4004,-0.37192456677781893,24.97723,121.53767,2,1400,55440.0
162,16.0,4066.587,-1.391638279665349,24.94297,121.50342,1,469,5440.4
163,8.5,104.8101,0.30788457514720113,24.96674,121.54067,1,565,31357.5
164,0.0,185.4296,-1.391638279665349,24.9711,121.5317,3,1312,72422.40000000001
165,13.7,1236.564,-1.051733708702839,24.97694,121.55391,3,1494,45716.4
166,0.0,292.9978,0.6477891461097112,24.97744,121.54458,3,1448,106572.79999999999
167,28.2,330.0854,1.3275982880347312,24.97408,121.54011,3,1088,47219.2
168,27.6,515.1122,0.30788457514720113,24.96299,121.5432,1,580,21692.0
169,8.4,1962.628,-1.051733708702839,24.95468,121.55481,2,1342,31537.0
170,24.0,4527.687,-1.391638279665349,24.94741,121.49628,2,1462,21052.8
171,3.6,383.8624,0.30788457514720113,24.98085,121.54391,1,411,24166.8
172,6.6,90.45606,1.6675028589972412,24.97433,121.5431,3,842,48920.200000000004
173,41.3,401.8807,-0.032019995815308906,24.98326,121.5446,3,889,31203.9
174,4.3,432.0385,0.9876937170722212,24.9805,121.53778,3,1239,56002.8
175,30.2,472.1745,-0.37192456677781893,24.97005,121.53758,1,503,18359.5
176,13.9,4573.779,-1.391638279665349,24.94867,121.49507,3,1206,23155.2
177,33.0,181.0766,1.6675028589972412,24.97697,121.54262,1,542,22764.0
178,13.1,1144.436,-0.032019995815308906,24.99176,121.53456,2,1490,54683.00000000001
179,14.0,438.8513,-1.051733708702839,24.97493,121.5273,1,580,24708.0
180,26.9,4449.27,-1.391638279665349,24.94898,121.49621,2,1331,20630.5
181,11.6,201.8939,1.3275982880347312,24.98489,121.54121,3,1482,82843.8
182,13.5,2147.376,-0.37192456677781893,24.96299,121.51284,2,1002,23647.2
183,17.0,4082.015,-1.391638279665349,24.94155,121.50381,2,923,17352.4
184,14.1,2615.465,-1.391638279665349,24.95495,121.56174,1,442,9635.6
185,31.4,1447.286,-0.37192456677781893,24.97285,121.5173,1,516,11094.0
186,20.9,2185.128,-0.37192456677781893,24.96322,121.51237,1,436,11205.199999999999
187,8.9,3078.176,-1.391638279665349,24.95464,121.56627,3,1175,25850.0
188,34.8,190.0392,1.3275982880347312,24.97707,121.54312,1,492,21795.6
189,16.3,4066.587,-1.391638279665349,24.94297,121.50342,2,996,20418.0
190,35.3,616.5735,1.3275982880347312,24.97945,121.53642,3,810,34263.0
191,13.2,750.0704,-0.711829137740329,24.97371,121.54951,2,1256,47476.799999999996
192,43.8,57.58945,0.9876937170722212,24.9675,121.54069,3,1000,42700.0
193,9.7,421.479,0.30788457514720113,24.98246,121.54477,2,1089,53687.7
194,15.2,3771.895,-1.391638279665349,24.93363,121.51158,2,1287,37709.1
195,15.2,461.1016,0.30788457514720113,24.95425,121.5399,2,1081,37402.6
196,22.8,707.9067,-0.711829137740329,24.981,121.54713,1,537,19654.2
197,34.4,126.7286,1.3275982880347312,24.96881,121.54089,1,548,26413.600000000002
198,34.0,157.6052,0.9876937170722212,24.96628,121.54196,3,1368,53488.8
199,18.2,451.6419,1.3275982880347312,24.96945,121.5449,1,458,14472.800000000001
200,17.4,995.7554,-1.391638279665349,24.96305,121.54915,1,410,10455.0
201,13.1,561.9845,0.30788457514720113,24.98746,121.54391,2,1339,61460.1
202,38.3,642.6985,-0.37192456677781893,24.97559,121.53713,1,585,18427.5
203,15.6,289.3248,0.30788457514720113,24.98203,121.54348,1,544,25078.4
204,18.0,1414.837,-1.051733708702839,24.95182,121.54887,3,1100,29260.0
205,12.8,1449.722,-0.37192456677781893,24.97289,121.51728,2,945,20223.0
206,22.2,379.5575,2.007407429959751,24.98343,121.53762,1,456,20064.0
207,38.5,665.0636,-0.37192456677781893,24.97503,121.53692,3,1053,36012.600000000006
208,11.5,1360.139,-1.051733708702839,24.95204,121.54842,1,452,11842.4
209,34.8,175.6294,1.3275982880347312,24.97347,121.54271,3,1349,55174.1
210,5.2,390.5684,0.30788457514720113,24.97937,121.54245,3,836,43639.200000000004
211,0.0,274.0144,-1.051733708702839,24.9748,121.53059,3,1118,48633.0
212,17.6,1805.665,-0.711829137740329,24.98672,121.52091,2,1377,42824.700000000004
213,6.2,90.45606,1.6675028589972412,24.97433,121.5431,2,1354,78532.0
214,18.1,1783.18,-0.37192456677781893,24.96731,121.51486,1,586,12247.4
215,19.2,383.7129,1.3275982880347312,24.972,121.54477,1,428,20586.8
216,37.8,590.9292,-1.051733708702839,24.97153,121.53559,3,1140,45258.0
217,28.0,372.6242,0.6477891461097112,24.97838,121.54119,3,1291,52672.799999999996
218,13.6,492.2313,0.30788457514720113,24.96515,121.53737,2,1455,63728.99999999999
219,29.3,529.7771,1.3275982880347312,24.98102,121.53655,1,583,23436.600000000002
220,37.2,186.5101,1.6675028589972412,24.97703,121.54265,2,1187,92942.09999999999
221,9.0,1402.016,-1.391638279665349,24.98569,121.5276,1,417,16054.5
222,30.6,431.1114,2.007407429959751,24.98123,121.53743,3,1145,55532.5
223,9.1,1402.016,-1.391638279665349,24.98569,121.5276,2,1270,53721.0
224,34.5,324.9419,0.6477891461097112,24.97814,121.5417,2,880,40480.0
225,1.1,193.5845,0.6477891461097112,24.96571,121.54089,1,462,22638.0
226,16.5,4082.015,-1.391638279665349,24.94155,121.50381,1,588,7526.400000000001
227,32.4,265.0609,1.3275982880347312,24.98059,121.53986,3,1380,55476.00000000001
228,11.9,3171.329,-1.391638279665349,25.00115,121.51776,2,1204,56106.4
229,31.0,1156.412,-1.391638279665349,24.9489,121.53095,1,559,10621.0
230,4.0,2147.376,-0.37192456677781893,24.96299,121.51284,1,569,19004.6
231,16.2,4074.736,-1.391638279665349,24.94235,121.50357,2,1189,17478.3
232,27.1,4412.765,-1.051733708702839,24.95032,121.49587,2,1140,19836.0
233,39.7,333.3679,1.6675028589972412,24.98016,121.53932,3,975,31590.0
234,8.0,2216.612,-0.032019995815308906,24.96007,121.51361,1,494,11806.599999999999
235,12.9,250.631,0.9876937170722212,24.96606,121.54297,2,1035,40675.5
236,3.6,373.8389,2.007407429959751,24.98322,121.53765,3,1117,69142.3
237,13.0,732.8528,-1.391638279665349,24.97668,121.52518,1,578,22542.0
238,12.8,732.8528,-1.391638279665349,24.97668,121.52518,3,1244,50506.4
239,18.1,837.7233,-1.391638279665349,24.96334,121.54767,3,1074,31897.8
240,11.0,1712.632,-0.711829137740329,24.96412,121.5167,1,421,12124.800000000001
241,13.7,250.631,0.9876937170722212,24.96606,121.54297,1,492,20368.8
242,2.0,2077.39,-0.37192456677781893,24.96357,121.51329,3,1189,39712.6
243,32.8,204.1705,1.3275982880347312,24.98236,121.53923,1,478,23039.600000000002
244,4.8,1559.827,-0.37192456677781893,24.97213,121.51627,3,1262,27385.399999999998
245,7.5,639.6198,0.30788457514720113,24.97258,121.54814,2,1219,49735.2
246,16.4,389.8219,0.6477891461097112,24.96412,121.54273,1,506,20543.600000000002
247,21.7,1055.067,-1.391638279665349,24.96211,121.54928,1,465,10741.5
248,19.0,1009.235,-1.391638279665349,24.96357,121.54951,2,1123,25042.9
249,18.0,6306.153,-1.051733708702839,24.95743,121.47516,2,1439,21585.0
250,39.2,424.7132,0.9876937170722212,24.97429,121.53917,1,420,12600.0
251,31.7,1159.454,-1.391638279665349,24.9496,121.53018,2,970,13386.0
252,5.9,90.45606,1.6675028589972412,24.97433,121.5431,3,1164,61342.8
253,30.4,1735.595,-0.711829137740329,24.96464,121.51623,2,1120,29008.0
254,1.1,329.9747,0.30788457514720113,24.98254,121.54395,2,965,49987.0
255,31.5,5512.038,-1.051733708702839,24.95095,121.48458,2,1368,23803.199999999997
256,14.6,339.2289,-1.051733708702839,24.97519,121.53151,2,1154,30581.0
257,17.3,444.1334,-1.051733708702839,24.97501,121.5273,2,1388,60933.2
258,0.0,292.9978,0.6477891461097112,24.97744,121.54458,2,1205,76276.5
259,17.7,837.7233,-1.391638279665349,24.96334,121.54767,3,1013,29174.4
260,17.0,1485.097,-0.032019995815308906,24.97073,121.517,1,513,15749.1
261,16.2,2288.011,-0.37192456677781893,24.95885,121.51359,1,453,11053.199999999999
262,15.9,289.3248,0.30788457514720113,24.98203,121.54348,1,590,31270.0
263,3.9,2147.376,-0.37192456677781893,24.96299,121.51284,1,475,15057.5
264,32.6,493.657,0.9876937170722212,24.96968,121.54522,3,949,38529.4
265,15.7,815.9314,-0.032019995815308906,24.97886,121.53464,3,1395,53149.5
266,17.8,1783.18,-0.37192456677781893,24.96731,121.51486,2,1423,33725.1
267,34.7,482.7581,0.30788457514720113,24.97433,121.53863,3,847,34811.700000000004
268,17.2,390.5684,0.30788457514720113,24.97937,121.54245,2,844,33844.4
269,17.6,837.7233,-1.391638279665349,24.96334,121.54767,1,541,12443.0
270,10.8,252.5822,-1.051733708702839,24.9746,121.53046,2,1373,161327.5
271,17.7,451.6419,1.3275982880347312,24.96945,121.5449,3,978,25917.0
272,13.0,492.2313,0.30788457514720113,24.96515,121.53737,3,890,36045.0
273,13.2,170.1289,-1.051733708702839,24.97371,121.52984,2,1299,38060.700000000004
274,27.5,394.0173,0.9876937170722212,24.97305,121.53994,1,544,22304.0
275,1.5,23.38284,0.9876937170722212,24.96772,121.54102,3,1385,68834.5
276,19.1,461.1016,0.30788457514720113,24.95425,121.5399,2,1315,44710.0
277,21.2,2185.128,-0.37192456677781893,24.96322,121.51237,3,1318,36508.6
278,0.0,208.3905,0.6477891461097112,24.95618,121.53844,2,1448,63712.0
279,2.6,1554.25,-0.37192456677781893,24.97026,121.51642,1,440,13684.0
280,2.3,184.3302,0.6477891461097112,24.96581,121.54086,2,1034,46943.6
281,4.7,387.7721,1.6675028589972412,24.98118,121.53788,1,539,24147.199999999997
282,2.0,1455.798,-1.051733708702839,24.9512,121.549,3,1154,29542.4
283,33.5,1978.671,-0.711829137740329,24.98674,121.51844,2,897,21079.5
284,15.0,383.2805,0.9876937170722212,24.96735,121.54464,1,533,18335.2
285,30.1,718.2937,-0.37192456677781893,24.97509,121.53644,3,1470,81291.0
286,5.9,90.45606,1.6675028589972412,24.97433,121.5431,1,436,24546.8
287,19.2,461.1016,0.30788457514720113,24.95425,121.5399,2,1469,48330.1
288,16.6,323.6912,0.6477891461097112,24.97841,121.5428,1,439,22389.0
289,13.9,289.3248,0.30788457514720113,24.98203,121.54348,2,1446,64347.0
290,37.7,490.3446,-1.391638279665349,24.97217,121.53471,3,1194,44178.0
291,3.4,56.47425,0.9876937170722212,24.95744,121.53711,3,1208,65715.2
292,17.5,395.6747,0.30788457514720113,24.95674,121.534,2,876,21462.0
293,12.6,383.2805,0.9876937170722212,24.96735,121.54464,2,927,39397.5
294,26.4,335.5273,0.6477891461097112,24.9796,121.5414,3,1330,50673.0
295,18.2,2179.59,-0.37192456677781893,24.96299,121.51252,3,899,19598.2
296,12.5,1144.436,-0.032019995815308906,24.99176,121.53456,1,585,19948.5
297,34.9,567.0349,-0.032019995815308906,24.97003,121.5458,2,1358,38703.0
298,16.7,4082.015,-1.391638279665349,24.94155,121.50381,2,1379,23029.3
299,33.2,121.7262,2.007407429959751,24.98178,121.54059,3,1297,59791.700000000004
300,2.5,156.2442,-0.032019995815308906,24.96696,121.53992,1,543,20036.7
301,38.0,461.7848,-1.391638279665349,24.97229,121.53445,1,498,17778.600000000002
302,16.5,2288.011,-0.37192456677781893,24.95885,121.51359,3,1054,24452.8
303,38.3,439.7105,-1.391638279665349,24.97161,121.53423,2,1144,43929.6
304,20.0,1626.083,-0.37192456677781893,24.96622,121.51668,3,970,28518.0
305,16.2,289.3248,0.30788457514720113,24.98203,121.54348,2,914,50270.0
306,14.4,169.9803,-1.051733708702839,24.97369,121.52979,3,1305,65511.00000000001
307,10.3,3079.89,-1.391638279665349,24.9546,121.56627,2,812,20056.399999999998
308,16.4,289.3248,0.30788457514720113,24.98203,121.54348,1,490,25970.0
309,30.3,1264.73,-1.391638279665349,24.94883,121.52954,1,554,10581.400000000001
310,16.4,1643.499,-0.711829137740329,24.95394,121.55174,3,886,21884.2
311,21.3,537.7971,-0.032019995815308906,24.97425,121.53814,2,876,36967.200000000004
312,35.4,318.5292,1.6675028589972412,24.97071,121.54069,1,433,33774.0
313,8.3,104.8101,0.30788457514720113,24.96674,121.54067,3,952,40745.6
314,3.7,577.9615,0.6477891461097112,24.97201,121.54722,2,1491,62025.6
315,15.6,1756.411,-0.711829137740329,24.9832,121.51812,2,924,25225.2
316,13.3,250.631,0.9876937170722212,24.96606,121.54297,2,1307,54894.0
317,15.6,752.7669,-0.711829137740329,24.97795,121.53451,1,548,20550.0
318,7.1,379.5575,2.007407429959751,24.98343,121.53762,3,1407,70068.59999999999
319,34.6,272.6783,0.30788457514720113,24.95562,121.53872,1,402,10813.8
320,13.5,4197.349,-1.391638279665349,24.93885,121.50383,2,1222,22729.2
321,16.9,964.7496,-0.032019995815308906,24.98872,121.53411,2,1235,46559.5
322,12.9,187.4823,-1.051733708702839,24.97388,121.52981,1,480,15888.0
323,28.6,197.1338,0.6477891461097112,24.97631,121.54436,1,594,25245.0
324,12.4,1712.632,-0.711829137740329,24.96412,121.5167,2,1124,35181.200000000004
325,36.6,488.8193,1.3275982880347312,24.97015,121.54494,2,1166,44424.6
326,4.1,56.47425,0.9876937170722212,24.95744,121.53711,1,470,29187.0
327,3.5,757.3377,-0.37192456677781893,24.97538,121.54971,2,1343,49288.100000000006
328,15.9,1497.713,-0.37192456677781893,24.97003,121.51696,1,506,11941.6
329,13.6,4197.349,-1.391638279665349,24.93885,121.50383,1,458,8793.6
330,32.0,1156.777,-1.391638279665349,24.94935,121.53046,3,970,12416.0
331,25.6,4519.69,-1.391638279665349,24.94826,121.49587,1,426,6645.599999999999
332,39.8,617.7134,-0.711829137740329,24.97577,121.53475,2,1491,59043.6
333,7.8,104.8101,0.30788457514720113,24.96674,121.54067,3,1498,57523.2
334,30.0,1013.341,0.30788457514720113,24.99006,121.5346,1,484,11035.2
335,27.3,337.6016,0.6477891461097112,24.96431,121.54063,2,1337,48800.5
336,5.1,1867.233,-0.711829137740329,24.98407,121.51748,3,817,29085.2
337,31.3,600.8604,0.30788457514720113,24.96871,121.54651,2,1333,41189.7
338,31.5,258.186,1.6675028589972412,24.96867,121.54331,1,540,19602.0
339,1.7,329.9747,0.30788457514720113,24.98254,121.54395,3,1173,59119.2
340,33.6,270.8895,-1.391638279665349,24.97281,121.53265,3,1031,44229.9
341,13.0,750.0704,-0.711829137740329,24.97371,121.54951,3,800,29600.0
342,5.7,90.45606,1.6675028589972412,24.97433,121.5431,1,492,26322.0
343,33.5,563.2854,1.3275982880347312,24.98223,121.53597,3,1284,59834.4
