,Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
39,Roadster Men's Zipper Solid Cardigan,1399.0,699.0,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380,887
40,Noor Embroidered Women's Straight Kurta,1649.0,849.0,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639,1041
41,Libas Printed Women's A-line Kurta,899.0,449.0,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570
42,Libas Printed Women's Anarkali Kurta,1849.0,924.0,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142
43,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS ULTIMATE BOY CHEST PADS,427,491
44,Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918
45,HRS CLUB BOY Thigh Pads,280.0,250.0,HRS CLUB BOY THIGH PADS,273,298
46,Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794,868
47,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145
48,Liza Women Wedges,1990.0,1393.0,Liza Women Wedges,1677,1182
49,HRS ULTIMATE BOY Elbow Pads,250.0,230.0,HRS ULTIMATE BOY ELBOW PADS,236,279
50,Sathiyas Cotton Bath Towel,600.0,449.0,SATHIYAS COTTON BATH TOWEL,582,568
51,HRS ULTIMATE MEN Chest Pads,440.0,395.0,HRS ULTIMATE MEN CHEST PADS,435,474
52,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695,1570
53,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989,472
54,Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,Mario Gotze Women's Printed Casual Orange Shirt,1486,1162
55,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2595,864
56,Shilpi NHSCN003 Coin Bank,900.0,650.0,Shilpi NHSCN003 Coin Bank,880,787
57,Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,Babeezworld Dungaree Baby Boy's  Combo,997,565
58,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590,1487
59,"Proence Weight Gainers, Mass Gainers",1025.0,949.0,"Proence Weight Gainers, Mass Gainers",1010,1107
60,Discountgod Men's Checkered Casual Shirt,750.0,590.0,Discountgod Men's Checkered Casual Shirt,732,662
61,Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,Silver Streak Men's Printed Casual Denim Shirt,1298,713
62,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18981,16829
63,TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,TEN TEN Women's Black Knee Length Boots Boots,4986,2581
64,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13682,16407
65,Carlton Boots,3495.0,1223.0,Carlton Boots,3484,1379
66,Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,Maserati Time R8851116001 Analog Watch  - For Boys,24393,30971
67,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087,769
68,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088,561
69,Reckler Slim Fit Men's Jeans,5398.0,2599.0,Reckler Slim Fit Men's Jeans,5383,3179
70,Quechua Arpenaz Novadry Boots,2499.0,2250.0,Quechua Arpenaz Novadry Boots,2481,2748
71,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3990,983
72,Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,1791,844
73,Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,Rochees RW38 Analog Watch  - For Boys,1414,1357
74,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084,468
75,Catwalk Boots,2095.0,999.0,Catwalk Boots,2086,1283
76,Magnum Footwear Lifestyle,3999.0,2099.0,Magnum Footwear Lifestyle,3982,2586
77,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990,469
78,Rialto Boots,3295.0,2795.0,Rialto Boots,3275,3331
79,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2481,1583
80,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476,5916
81,La Briza Ashley Boots,2299.0,2299.0,La Briza Ashley Boots,2296,2840
82,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737,137323
83,Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,Salt N Pepper 13-019 Femme Black Boots Boots,4176,3857
84,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1497,1651
85,Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,Wrangler Skanders Fit Men's Jeans,2785,2254
86,Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,Salt N Pepper 14-664 Denny Black Boots Boots,4283,3869
87,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189,513
88,Crocs Boots,3995.0,3995.0,Crocs Boots,3977,4845
89,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223,726879
90,Lyc White Casual Boots,1199.0,899.0,Lyc White Casual Boots,1195,1025
91,Myra Comfortable Boots,1049.0,499.0,Myra Comfortable Boots,1038,573
92,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991,896
93,Get Glamr Designer Uggy Boots,3499.0,2799.0,Get Glamr Designer Uggy Boots,3487,3180
94,Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,Rochees RW50 Analog Watch  - For Boys,1110,1225
95,Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,Salt N Pepper 13-516 Greta Red Boots,3475,3380
96,Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682,1026
97,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085,472
98,Wrangler Regular Fit Men's Jeans,3295.0,1812.0,Wrangler Regular Fit Men's Jeans,3279,2305
99,"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,"Disney DW100230 Digital Watch  - For Boys, Girls",342,386
100,Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,Salt N Pepper 13-167 Marsha Red Boots,3692,3441
101,"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,"Cartier W6701005 Analog Watch  - For Boys, Men",200990,246928
102,Bruno Manetti Cannelita Boots,3399.0,1359.0,Bruno Manetti Cannelita Boots,3394,1564
103,Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,Stylistry Maxis Shde6603brwoboot3104 Boots,2185,1785
104,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181,444
105,"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,"Felix Y 39 Analog Watch  - For Boys, Men",1536,602
106,Kielz Boots,2999.0,2399.0,Kielz Boots,2987,2706
107,Sakay Country Leather Boots,3999.0,3499.0,Sakay Country Leather Boots,3980,3877
108,La Briza Black Boots,2299.0,2069.0,La Briza Black Boots,2282,2385
109,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362,324
110,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180,1229
111,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466,368
112,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083,739
113,Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381,178
114,La Briza Mile Boots,3999.0,3999.0,La Briza Mile Boots,3998,4701
115,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3979,1064
116,Sneha Unique Boots,1799.0,899.0,Sneha Unique Boots,1794,1026
117,Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,Timer TC_-_690143 Analog Watch  - For Boys,1287,707
118,NE Regular Fit Men's Jeans,4999.0,1899.0,NE Regular Fit Men's Jeans,4988,2180
119,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4991,1287
120,Belle Gambe Boots,3999.0,1695.0,Belle Gambe Boots,3988,2169
121,"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,"Titan 1639SL03 Analog Watch  - For Boys, Men",1783,2169
122,Selfie Boots,1200.0,599.0,Selfie Boots,1191,773
123,Clincher Semonday Boots,3499.0,3499.0,Clincher Semonday Boots,3497,4157
124,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790,233
125,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573,620
126,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919,2269
127,Roxy Boots,19995.0,9997.0,Roxy Boots,19979,12156
128,Lee Men's Jeans,2699.0,1619.0,Lee Men's Jeans,2681,2089
129,Bruno Manetti 676 Boots,2999.0,1199.0,Bruno Manetti 676 Boots,2979,1482
130,"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,"Estilo 1056 Analog Watch  - For Boys, Men",1295,371
131,Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,Jack klein BlackLed Digital Watch  - For Boys,994,187
132,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220,176
133,Foot Candy Boots,2899.0,1699.0,Foot Candy Boots,2887,2095
134,Credos Boots,4499.0,3499.0,Credos Boots,4496,4097
135,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996,164
136,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489,2146
137,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378,392
138,Anand Archies Boots,499.0,499.0,Anand Archies Boots,492,575
139,Magnum Footwear Lifestyle Boots,2999.0,1899.0,Magnum Footwear Lifestyle Boots,2992,2185
140,Swag 670038 Analog Watch  - For Boys,2499.0,899.0,Swag 670038 Analog Watch  - For Boys,2480,1126
141,Bonzer Boots,999.0,499.0,Bonzer Boots,987,582
142,Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,Roadster Skinny Fit Fit Men's Jeans,2495,1414
143,Selfie Black Denim Boots,1000.0,499.0,Selfie Black Denim Boots,990,638
144,Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3193,2835
145,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626,822
146,Belle Gambe Winter Boots,3499.0,1695.0,Belle Gambe Winter Boots,3498,1943
147,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398,180
148,"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295,931
149,Carlton London Boots,2295.0,2295.0,Carlton London Boots,2279,2871
150,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331,298
151,La Briza Andria Boots,2099.0,2099.0,La Briza Andria Boots,2085,2641
152,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343,1456
153,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784,1327
154,Urban Country Ladies Boots,3299.0,1650.0,Urban Country Ladies Boots,3296,2015
155,Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0,Now SP-ETHNIC Analog Watch  - For Boys,586,767
156,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344,1597
157,Get Glamr Designer Yuvu Boots,3499.0,2799.0,Get Glamr Designer Yuvu Boots,3483,3565
158,Remson India Boots,3999.0,1999.0,Remson India Boots,3993,2458
159,Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0,Jacques Farel KWD2324 Analog Watch  - For Boys,2838,1748
160,Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,Salt N Pepper 13-455 Pisa Black Boots,4993,4661
161,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988,354
162,Klaur Melbourne Boots,3499.0,1574.0,Klaur Melbourne Boots,3480,1868
163,"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0,"Positif Pfbk612 Analog Watch  - For Men, Boys",1086,978
164,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8975,10759
165,Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0,Salt N Pepper 13-019 Femme Taupe Boots Boots,4181,2524
166,"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,"Franck Bella FB127A Analog Watch  - For Boys, Men",1232,1292
167,Get Glamr Stylish Boots,1999.0,499.0,Get Glamr Stylish Boots,1992,596
168,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1340,719
169,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1499.0,999.0,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1488,1206
170,Do Bhai Boots,799.0,699.0,Do Bhai Boots,798,904
171,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1076,736
172,Sam Stefy Boots,1050.0,449.0,Sam Stefy Boots,1041,565
173,TEN TEN Women's Tan Mid Length Boots Boots,4495.0,1895.0,TEN TEN Women's Tan Mid Length Boots Boots,4491,2440
174,Get Glamr Dazzle Boots,3499.0,499.0,Get Glamr Dazzle Boots,3482,584
175,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999.0,262.0,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1989,296
176,Dearfoams Boots,1820.0,1820.0,Dearfoams Boots,1812,2278
177,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495.0,2495.0,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2494,2798
178,"A Avon PK_504 Analog Watch  - For Men, Boys",2499.0,1249.0,"A Avon PK_504 Analog Watch  - For Men, Boys",2498,1545
179,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1299.0,1039.0,"Franck Bella FB0122DD Analog Watch  - For Men, Boys",1288,1262
180,Salt N Pepper 12-298 Taupe Boots,4395.0,2150.0,Salt N Pepper 12-298 Taupe Boots,4388,2443
181,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",8995.0,7495.0,"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls",8977,8511
182,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2499.0,599.0,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2484,728
183,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1990.0,699.0,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1976,819
184,TSG Kelz Boots,2650.0,2650.0,TSG Kelz Boots,2646,3402
185,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2999.0,995.0,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2994,1131
186,J.D.H. 111-222 Boots,1500.0,599.0,J.D.H. 111-222 Boots,1495,767
187,"Disney 98189 Analog Watch  - For Boys, Girls",1800.0,900.0,"Disney 98189 Analog Watch  - For Boys, Girls",1794,1032
188,Get Glamr Designer Snowra Boots,2799.0,2239.0,Get Glamr Designer Snowra Boots,2793,2605
189,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1999.0,849.0,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1997,1102
190,Pinza Black Christmas Boots,3350.0,1900.0,Pinza Black Christmas Boots,3335,2334
191,Salt N Pepper 13-552 Rebacca Almond Boots,3495.0,2621.0,Salt N Pepper 13-552 Rebacca Almond Boots,3482,2941
192,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299.0,299.0,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1287,333
193,Disney DW100405 Digital Watch  - For Boys,1495.0,1345.0,Disney DW100405 Digital Watch  - For Boys,1477,1641
194,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",1075,701
195,"Disney LP-1008 (Yellow) Analog Watch  - For Boys, Girls",795.0,795.0,"Disney LP-1008 (Yellow) Analog Watch  - For Boys, Girls",784,995
196,"Elantra S 10 Analog Watch  - For Boys, Men",2150.0,950.0,"Elantra S 10 Analog Watch  - For Boys, Men",2136,1094
197,Willy Winkies Black Boots,1499.0,999.0,Willy Winkies Black Boots,1484,1117
198,"Marvel DW100243 Digital Watch  - For Boys, Girls",299.0,299.0,"Marvel DW100243 Digital Watch  - For Boys, Girls",282,348
199,DJH Boots,999.0,499.0,DJH Boots,980,578
200,"Franck Bella FB123D Analog Watch  - For Men, Boys",1645.0,1316.0,"Franck Bella FB123D Analog Watch  - For Men, Boys",1636,1543
201,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",1299.0,899.0,"Skmei DG1010-Black-Gold Sports Digital Watch  - For Men, Boys, Women, Girls",1286,1068
202,Pinza Blue Cowboy Boots,3250.0,1800.0,Pinza Blue Cowboy Boots,3241,2105
203,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",1299.0,499.0,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",1298,648
204,CatBird Boots,1399.0,999.0,CatBird Boots,1385,1175
205,Bruno Manetti 664 Boots,2999.0,1199.0,Bruno Manetti 664 Boots,2998,1485
206,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",1499.0,599.0,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",1480,682
207,Get Glamr Designer Kuyal Boots,2799.0,2239.0,Get Glamr Designer Kuyal Boots,2797,2714
208,"Zoop C4040PP03 Digital Watch  - For Boys, Girls",750.0,750.0,"Zoop C4040PP03 Digital Watch  - For Boys, Girls",745,905
209,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",2399.0,479.0,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",2381,535
210,Stylistry Maxis Sa3228-25relong1712 Boots,2299.0,1599.0,Stylistry Maxis Sa3228-25relong1712 Boots,2294,2031
211,Salt N Pepper 14-475 Dorthea Almond Boots Boots,4695.0,3521.0,Salt N Pepper 14-475 Dorthea Almond Boots Boots,4684,4359
212,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys",6995.0,6645.0,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys",6979,8225
